AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.01255984285400494,0.014436195978857178,0.016487901211956018,Dual Bandit no log (alpha = 0.0),50
0.012041996706315745,0.013871117279472095,0.015874015050780024,Dual Bandit no log (alpha = 0.8),50
0.011276214083010211,0.013039078326377074,0.01497424566582183,Dual Bandit no log (alpha = 0.85),50
